gid,estado,cidade,via,hnum,nsvia,latitude,longitude,postcode
688,Aguascalientes,Aguascalientes,CALLE LIBERTAD,1712,LAS ARBOLEDAS,21.900676615818877,-102.3014375380114,20020
689,Aguascalientes,Aguascalientes,CALLE LIBERTAD,1710A,LAS ARBOLEDAS,21.90061000948278,-102.30141756115398,20020
690,Aguascalientes,Aguascalientes,CALLE LIBERTAD,1710,LAS ARBOLEDAS,21.900562666627486,-102.30140336189444,20020
691,Aguascalientes,Aguascalientes,CALLE LIBERTAD,1708A,CIRCUNVALACIÓN NORTE,21.900504222715384,-102.30138583317535,20020
692,Aguascalientes,Aguascalientes,CALLE LIBERTAD,1708,CIRCUNVALACIÓN NORTE,21.900457695707733,-102.3013718786304,20020
693,Aguascalientes,Aguascalientes,CALLE LIBERTAD,SN,CIRCUNVALACIÓN NORTE,21.90039843594563,-102.30135410524687,20020
694,Aguascalientes,Aguascalientes,CALLE LIBERTAD,1704,CIRCUNVALACIÓN NORTE,21.900337461325027,-102.30133581755398,20020
695,Aguascalientes,Aguascalientes,CALLE MARGIL DE JESÚS,1401,CIRCUNVALACIÓN NORTE,21.900177110426277,-102.301348386749,20020
696,Aguascalientes,Aguascalientes,CALLE MARGIL DE JESÚS,1403,CIRCUNVALACIÓN NORTE,21.900152361026706,-102.30143562538888,20020
697,Aguascalientes,Aguascalientes,CALLE MARGIL DE JESÚS,1405,LAS ARBOLEDAS,21.90006042949883,-102.30180585783485,20020
698,Aguascalientes,Aguascalientes,CALLE ACACIA,405,LAS ARBOLEDAS,21.90046155728557,-102.30197850688633,20020
699,Aguascalientes,Aguascalientes,CALLE ACACIA,407,LAS ARBOLEDAS,21.90052831351238,-102.30200132002061,20020
700,Aguascalientes,Aguascalientes,CALLE ACACIA,409,LAS ARBOLEDAS,21.900594803297814,-102.30202343709013,20020
701,Aguascalientes,Aguascalientes,CALLE ACACIA,411,LAS ARBOLEDAS,21.900675300342986,-102.30205021354506,20020
702,Aguascalientes,Aguascalientes,CALLE ACACIA,413A,LAS ARBOLEDAS,21.90075902387187,-102.3020780632892,20020
703,Aguascalientes,Aguascalientes,CALLE ACACIA,417,LAS ARBOLEDAS,21.900828958807764,-102.30210132643143,20020
704,Aguascalientes,Aguascalientes,CALLE ACACIA,419,LAS ARBOLEDAS,21.900910127791043,-102.30212832649597,20020
